,,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,0,81.01376020000002,75.132513,73.29796400000002,70.29587059999999,72.2846668,84.21572590000002,93.5461543,166.31360719999995,229.051365,256.6747859,274.16027139999994,277.2944676,265.1975164,256.24354280000006,269.2812492,277.0069722,281.5628007,235.9443822,202.6348139,154.05210019999996,125.93214840000002,119.8262119,109.6590688,104.9430752
2017-04-11,0,96.0253726,89.20165209999998,87.30181529999999,82.4999167,80.2346973,90.9132615,93.5576083,137.42929180000002,200.1450961,241.6715731,272.7500931,268.4046364,260.65466910000004,284.94860310000007,298.346156,278.2665304,277.2551422,253.0633397,210.7150382,153.8432556,122.823151,109.1444024,104.0945247,99.6700354
2017-04-16,1,85.6787835,80.57526290000001,82.6262925,83.96431059999998,80.6943845,75.29439620000002,75.6299984,72.8121235,73.06334790000002,73.78265909999998,76.6180968,78.9820115,78.56489499999998,78.4207655,81.1094011,83.1804752,85.7301356,87.69965090000002,86.2747733,84.8218334,85.053586,82.22712059999998,81.8386391,82.20898509999998
2017-04-17,2,81.8836915,80.7701718,80.1365747,78.8201283,76.8521402,89.7827517,110.0135701,173.9396804,252.46238650000004,294.1917902,290.4805033,284.6479356000001,298.8491775,282.6925469,310.0359175,320.96799689999995,294.6877484,273.80080669999995,265.3561543,208.7655674,159.0607435,125.0876068,117.0692341,114.84582179999998
2017-04-18,2,101.6271422,98.0662845,91.328469,88.74177399999998,88.2534518,100.6474434,123.1471083,182.3574159,248.7743894,268.35003900000004,289.3868372,296.6272924,299.8983639,305.3844481000001,326.7234410000001,310.8819863,312.5794691,308.2347759999999,284.7517852,212.8206652,151.530693,128.7166158,128.4426743,124.7122974
2017-04-19,2,109.2669602,101.4896942,95.169377,95.0439557,93.9535349,91.7100781,115.9184889,178.16124299999996,266.8428835,307.3495727,315.0917131,312.1969055,338.7638858,340.8259876,340.7156474,321.9601042,308.1708245000001,298.7773991,279.2826911,216.3303617,154.5499674,120.847336,121.0893972,117.0719067
2017-04-20,2,104.8109724,97.7390819,91.9437397,88.0434618,83.621836,84.6891579,109.93854640000002,183.5022432,273.3964805,289.8705778,295.1804613,287.7078717,311.2817309,325.4113853,349.67515710000015,335.4347807,329.6386749,294.0900405,257.7774243,204.5314054,154.6139189,133.1225878,130.5286386,137.37144909999998
2017-04-21,2,116.4474728,108.2219736,96.1297949,95.6265825,91.4073107,98.1491351,108.1431319,173.6829199,260.576591,283.6737729,299.7643521,291.3092002,304.6395563,306.5447383,330.4064747,325.8895898,324.3681168,280.7881285,249.8474383,197.3281757,162.66073569999998,131.05380449999998,117.9658914,119.6019044
2017-04-22,1,108.14485,104.88313259999998,94.2719561,90.5639145,88.8687225,85.41935040000001,94.0205408,103.5210611,118.6365231,130.74702820000002,146.19217450000005,149.6867899,157.036249,144.8272395,135.1087114,127.473475,125.4629162,127.5544166,129.0375187,111.5610055,107.2088673,104.6794423,103.6516367,103.5443509
2017-04-23,1,101.9486178,99.7150878,101.5063025,93.8191413,90.7845949,86.0141948,83.484388,80.428079,80.9374002,84.0007725,93.4277963,95.114016,96.230781,95.8304637,98.559761,101.3180751,103.6846624,105.4208979,105.55414609999998,100.0692073,100.1281954,98.7340527,100.7787826,104.94842040000002
2017-04-24,2,101.1728002,96.2069185,92.8732318,95.9952104,96.5669559,106.0187967,105.2914677,184.0615802,270.3035187,298.0340345,296.4978622,300.3950857,302.8389875,321.9868302,329.8238479,325.6733001,305.6520899,280.0107837,255.9222581,196.069572,134.4543062,110.85543909999998,103.5113252,99.002649
2017-04-25,1,88.3462292,84.4721046,85.559471,84.7218018,82.74675040000002,76.7324459,74.87842509999999,126.26049640000002,173.8138773,162.4877803,170.5639957,153.0561749,152.18070749999995,163.9008221,176.86102309999995,176.9301289,180.2647701,157.09390080000003,150.9320306,119.5709786,101.518711,92.5756187,92.6538877,92.19114609999998
2017-04-26,2,89.0244969,87.4091011,86.4307386,84.5914171,91.89926,101.8294962,114.4329051,189.5228474,258.8178293,269.0418606,304.002523,295.83563010000006,301.0886254,320.891446,339.5561208000001,322.2414908,318.9555291000001,271.2404559,223.5660444,190.4865106,134.51539419999997,107.0523293,103.425802,101.6145428
2017-04-27,0,88.4905496,83.1850568,82.1847408,79.507941,74.0130754,84.21839849999998,98.7833049,182.0254408,258.2369206,266.3631518,309.8016832,311.31972,301.5691207,283.030249,296.5018711,316.84799310000005,306.572037,275.4608731,216.9078342,172.8194792,129.27041670000003,109.5519739,108.906541,116.1468053
